ISSN -L	Wiki-ID	Label (titre)	ISSN ref titre	Code ISO de langue	ISSN ref langue	ISO pays	ISSN ref pays	URLs	ISSN ref URLs	ISSN1	keytitle1	format1	ISSN2	keytitle2	format2	ISSN3	keytitle3	format3	ISSN4	keytitle4	format4	cancelled ISSN
1015-1915	Q1028555	Camera Austria	1015-1915	ger	1015-1915	AUT	1015-1915			1015-1915	 Camera Austria	ta										
0017-9604	Q1029592	 Heilberufe	0017-9604	ger	0017-9604	DEU	0017-9604	http://www.springerlink.com/content/121237	1867-1535	0017-9604	 Heilberufe (München)	ta	1867-1535	 Heilberufe (München. Internet)	cr							
1803-3326	Q10295940	 Živá historie	1803-3326	cze	1803-3326	CZE	1803-3326			1803-3326	 Živá historie	ta										
0257-0238	Q10298117	 Gushihui	0257-0238	chi	0257-0238	CHN	0257-0238			0257-0238	 Gushihui	ta										
1070-986X	Q10299354	 IEEE multimedia	1070-986X	eng	1070-986X	USA	1070-986X	http://books.google.com/books?id=SshVAAAAMAAJ http://books.google.com/books?id=P-JVAAAAMAAJ http://ieeexplore.ieee.org/servlet/opac?punumber=93	1941-0166	1070-986X	 IEEE multimedia	ta	1941-0166	 IEEE multimedia (Online)	cr							
0133-1108	Q1030083	Gyógypedagógiai szemle	0133-1108	hun	0133-1108	HUN	0133-1108			0133-1108	 Gyógypedagógiai szemle	ta										
1938-3371	Q10302149	 Informationweek	1938-3371	eng	1938-3371	USA	1938-3371	http://books.google.com/books?id=A_VUAAAAMAAJ http://books.google.com/books?id=N0hVAAAAMAAJ http://books.google.com/books?id=Ow9VAAAAMAAJ http://books.google.com/books?id=RGhVAAAAMAAJ	1938-3371	1938-3371	 Informationweek (Manhasset, N.Y. : Online)	cr	8750-6874	 InformationWeek (Manhasset, N.Y.)	ta							
1555-8630	Q10302260	 Inked	1555-8630	eng	1555-8630	USA	1555-8630			1555-8630	 Inked (New York, N.Y.)	ta										
0047-2085	Q10308348	 Jornal Brasileiro de Psiquiatria	0047-2085	mul	0047-2085	BRA	0047-2085	http://www.scielo.br/jbpsiq http://www.ipub.ufrj.br/jbp.htm	1982-0208	0047-2085	 Jornal Brasileiro de Psiquiatria (Impresso)	ta	1982-0208	 Jornal Brasileiro de Psiquiatria (Online)	cr							
0894-8755	Q10310912	 Journal of climate	0894-8755	eng	0894-8755	USA	0894-8755	http://www.jstor.org/journal/jclimate http://ams.allenpress.com/amsonline/?request=get-archive&issn=1520-0442 http://firstsearch.oclc.org/journal=0894-8755;screen=info;ECOIP http://firstsearch.oclc.org	1520-0442	0894-8755	 Journal of climate	ta	1520-0442	 Journal of climate (Online)	cr							
